'gene','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Breast cancer','Breast cancer','Breast cancer','Breast cancer','Breast cancer'
'1552767_a_at',3.259844968,-0.917483723,1.666186876,1.328432838,2.944935521,5.639355672,5.539334937,5.8114679,4.496717624,7.183437943,7.561244768,6.786489485,7.583143084,6.765693284,6.286128581,7.498841125,7.601174594,7.19876661,6.969445372,5.871713192,6.944298069,4.849895206,4.818120128,5.806439575,6.605930798,7.260056941,6.618241347,7.705173996,5.940922778,6.452828917,8.734759658,6.079925311,6.610751387,5.544640198,7.441607458,5.95399771,4.948495693,3.82600531,4.431956677,2.97871862,4.928785501,5.772167388,5.283575059,4.590973611,5.831915357,5.310836281,6.409946751,6.47544726,6.114979721,5.198052546,5.795445863,3.900699751,5.698090788,4.561773271,6.347246023,5.291124815,4.866159011,5.787713661,5.086622094,6.177240199,4.227701643,3.308742981,3.788502695,2.717638829,3.682765648,3.180910935
'1552910_at',5.154268337,4.220746318,3.964178505,4.139232923,4.882258398,10.04289858,9.671298296,8.692090257,4.199785013,7.042145934,8.119871063,8.409879683,9.257711001,8.217297749,7.926504199,8.524563683,8.945771281,8.589772614,8.071721888,7.721846942,6.691895363,6.334273109,7.413085416,7.546252538,3.520513163,4.663046567,3.60852603,1.062489416,3.958327368,-1.338247528,4.257398574,3.051492212,0.845010416,4.479386684,3.698319318,3.63424977,2.217755276,0.922409411,3.070784957,2.684018601,3.791261745,2.308656125,4.919087831,5.610500354,4.711408284,4.69561193,4.346715973,2.495046244,4.420089142,1.417412005,4.959882933,0.723058353,4.317318714,-0.255926311,2.595267053,1.763217767,0.976963082,4.423587505,0.681959816,2.377104328,4.236426027,4.351000902,4.334146936,4.074116615,3.867738405,3.981854612
'1553179_at',2.035801596,-0.401542581,0.27768602,0.939490735,0.603834811,0.370511959,1.453844377,0.54555834,6.744556878,3.735380739,5.089373432,1.878318667,3.645967544,0.096283213,2.982160111,3.55375935,3.803010413,4.092803217,1.51733137,0.188134749,2.581779402,0.822168166,3.627647562,0.031954935,0.06093927,2.419708533,-0.092408349,0.461126447,1.597911576,4.573272067,4.74657101,-0.144252276,1.275149288,-0.060991225,4.474686039,2.335029045,2.988265093,1.701035719,0.823548148,-0.368177351,0.216892901,1.395407947,0.462216908,1.09690488,-0.459847405,3.621856662,0.696124338,1.22424959,1.311353888,-0.341947768,1.333859694,0.214475083,0.618375364,4.538725415,2.60851612,5.118127143,2.529486435,1.140127577,5.042747027,0.619639111,2.522854209,0.191240209,1.254883799,0.539115627,0.022964877,0.046283142
'1553185_at',8.60076809,9.644456059,7.746605904,9.466696834,8.611022923,8.796232174,7.498493359,8.428046427,9.276456614,10.10565668,8.882395552,9.612518915,9.60607936,9.364152288,9.523198897,9.464774461,9.388226342,9.862070676,9.462837683,9.088814943,9.505804332,9.997416811,9.58722372,9.710240699,11.56429667,11.33217179,11.41323504,10.59536,11.23655179,11.57725924,11.52478089,11.19711894,11.40732928,11.34917788,10.72694407,9.735854673,10.44497354,10.62758015,10.59985702,9.87034733,10.13195488,11.26485164,10.36455508,10.89648999,10.35684374,10.78230315,10.79238321,10.62277268,11.41952282,10.73199697,7.303646347,7.629727353,7.629727353,7.622486358,8.44435922,7.893874419,7.952687364,7.289139242,6.725424806,8.071168005,8.323224837,8.152419037,8.054522961,9.011313541,8.292748145,6.050519276
'1553581_s_at',7.279253953,7.361392722,6.769050098,6.766964607,6.649900169,5.498281049,5.602674525,6.499723514,6.979521935,7.048864186,6.81775379,7.629335797,6.519822694,6.690064921,6.723119318,6.928263947,6.901408495,6.697949559,6.554661606,6.676912422,6.403166124,7.239564187,6.659441223,5.974121223,6.118066014,7.244097273,6.885490219,6.052638062,5.719022112,6.419802872,7.032016757,6.812536794,5.242418633,6.266898952,6.060108369,5.419914275,5.324945412,5.558415392,5.608823087,6.330210899,6.445678719,5.76283603,6.009422298,6.431321833,5.914112306,6.340415025,5.773280145,6.549283678,5.324352281,6.160317169,6.089563922,5.457789502,5.817397368,6.316740068,5.052741992,5.393343134,5.200291899,3.220117027,4.225074284,4.365686206,3.295408121,5.830229763,5.928422435,6.812763259,5.791974698,4.819542116
'1554240_a_at',6.760506358,6.376029504,6.16015937,6.267716773,6.782447814,5.354793253,4.620218855,5.114725757,5.085626887,5.02737631,4.990615332,4.666973244,3.941181356,5.920042308,5.612993491,3.94261727,4.660095024,4.480820117,4.435930588,4.201109981,3.702462039,6.939177393,3.320299535,5.020505994,4.376261682,4.664615832,3.965995647,3.88985338,4.177974628,4.443374554,5.385535438,4.563042691,4.99361769,4.426233603,4.597726146,5.028889651,4.161138456,4.393386951,5.80825526,4.848784366,5.873808488,4.851633314,4.700348805,5.202218633,4.140944919,5.265933158,4.47138399,4.144363863,4.452991891,4.119088738,4.504824101,3.993762926,4.263320875,2.351579794,4.131069676,4.27282094,1.924005273,3.540783176,4.186126276,5.142924168,4.478826428,5.866504079,5.358013225,6.491247595,5.355867464,5.750462517
'1554452_a_at',7.716949092,6.861906677,7.459389329,7.823606363,7.311802458,6.842018,7.344942784,6.470338579,4.997151471,6.634286414,7.815765093,6.32390327,5.983898805,6.107118247,6.760922618,6.380378742,6.046093936,6.249448262,6.385590145,5.999121051,7.441607458,6.746434799,7.107337937,7.81835857,6.880327753,7.858468521,7.677330468,8.776066523,8.227204632,8.642676758,6.027014813,7.76119391,8.822651864,8.889978755,6.841341979,7.243259118,8.166280682,8.271360741,8.627678937,8.715671081,9.85661573,9.028537202,10.60920488,10.72694407,9.936498834,9.369539947,8.955219575,10.00626403,9.188268853,8.047618024,2.197011121,4.930787918,2.136862206,5.042228225,4.146337919,2.609012627,4.381975902,2.707849463,6.145640153,3.506481031,2.042372567,8.819600179,7.566655685,7.64215907,7.386536403,7.27604462
'1554593_s_at',0.666191464,-1.53195323,0.113651711,-0.16108659,-1.061043988,3.046496633,3.358304023,1.97240136,1.846538014,0.436301791,0.266859597,1.206542617,2.079832072,0.292299232,2.870611439,0.343311625,2.623369441,2.778897065,1.390471093,-2.7980334,3.179371438,0.377494379,-0.625077081,4.291433363,4.029013735,0.706293925,-2.927681994,3.890132218,3.337171566,3.73394942,4.314468768,1.288389013,-0.529872154,0.383657598,4.169011388,3.743010567,0.697574047,3.62627219,-0.251777063,3.577276791,1.123725344,4.1750037,-1.539409304,1.970226599,0.857014178,-1.217391659,2.011031602,4.785730061,0.838981317,2.417880812,0.690002075,0.102235614,0.694623215,2.34710424,-1.615410167,1.741658463,1.730282435,2.957017494,2.72800677,2.90699095,3.550847826,1.079528227,2.314847717,3.219252692,2.329455227,1.687777127
'1555318_at',-1.943800626,3.17734319,0.690736955,2.55514341,2.636427647,3.607686559,3.33517295,3.525312481,3.972345892,2.630568467,3.037830456,3.549119546,4.130023385,4.391118381,3.00214655,4.629760694,4.055617234,4.196595463,4.702825473,4.180806062,2.986539087,3.997501714,2.538571418,2.724419867,5.936993136,6.868742238,6.327855682,4.957242976,5.773415168,6.311059617,4.920013789,5.898760877,6.079334988,5.470586495,5.454193511,5.193534741,6.821199963,7.057134403,6.520948229,6.078727555,6.282779106,6.073993078,6.49508585,6.441577876,7.211372148,6.842676293,5.910668137,5.677111034,6.315072594,6.310203194,4.034726934,3.423438484,3.065524979,3.479281863,3.379076435,-0.723423398,5.090117238,-1.95836428,0.681718122,4.168451058,3.495604874,-1.233213986,1.90256867,2.082776771,2.892890942,1.41804231
'1555730_a_at',9.911042916,9.570684592,9.708017031,9.121019725,9.603953009,9.024807813,9.457189152,9.102227539,9.59548254,9.44248319,9.208529408,8.880167486,9.002772786,9.231977048,9.372815275,8.845743886,9.178184043,8.934112783,9.322707272,10.00322643,10.13883078,9.10606975,9.902539856,9.911042916,8.356707442,8.35602691,7.915513873,9.019902683,8.807251607,8.269420735,7.991675401,8.460180448,8.281642051,8.794213991,9.23355913,8.847866643,7.908471731,8.475240249,8.390562913,8.605052796,8.346470807,8.719404546,8.884473935,8.804228777,8.733775033,8.47903071,8.262934026,8.682843062,8.235385615,8.9657394,0.223886123,1.400168663,0.658629928,1.91651761,1.944071482,1.957533824,0.35481856,4.409648917,5.294814091,0.199069827,2.573795938,10.81812111,9.525029753,9.448110695,9.201443382,10.15881369
